target,ids,date,flag,user,text,procesado,Polaridad,Subjetividad,palabras,Label_enc,nLabel,neg_scores,neu_scores,pos_scores,compound_scores,NOUN,PRON,VERB,ADJ,ADV
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
Positiva,1971796339.0,Sat May 30 07:55:06 PDT 2009,NO_QUERY,sazmataz_x,@katie_andhearts going in town later to get my prom shoes and other things lol ,"['going', 'town', 'late', 'get', 'prom', 'shoes', 'things', 'lol']",0.25,0.6499999999999999,14.0,2.0,1.0,0.0,0.714,0.286,0.4215,1.0,1.0,3.0,1.0,0.0
Positiva,1978132662.0,Sat May 30 22:31:29 PDT 2009,NO_QUERY,Deasoy,happy day ,"['happy', 'day']",0.8,1.0,2.0,2.0,1.0,0.0,0.213,0.787,0.5719,2.0,2.0,3.0,1.0,1.0
Neutral,2055154954.0,Sat Jun 06 08:48:06 PDT 2009,NO_QUERY,LianeGentrySkye,@jodywallace  Are you at the LF event?  I haven't seen you. ,"['event', 'seen']",0.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Positiva,2066500448.0,Sun Jun 07 10:38:18 PDT 2009,NO_QUERY,darkrumblog,"@Fleshworks Excellent, very good indeed!  Am posting it now.","['excellent', 'good', 'indeed', 'posting']",0.85,0.8,9.0,2.0,1.0,0.0,0.233,0.767,0.765,2.0,0.0,0.0,0.0,0.0
Neutral,2001267352.0,Tue Jun 02 00:20:21 PDT 2009,NO_QUERY,primetheus,sigh ... what i would give to be on a beach somewhere ,"['sigh', 'would', 'give', 'beach', 'somewhere']",0.0,0.0,12.0,1.0,0.0,0.0,0.784,0.216,0.0258,1.0,1.0,0.0,0.0,1.0
Positiva,2178458794.0,Mon Jun 15 07:43:55 PDT 2009,NO_QUERY,emfeha,Check my new twitter background. Portfolio v5 style. Hope you like it ,"['check', 'new', 'twitter', 'background', 'portfolio', 'style', 'hope', 'like']",0.13636363636363635,0.4545454545454545,12.0,2.0,1.0,0.0,0.526,0.474,0.6597,2.0,1.0,2.0,2.0,1.0
Neutral,2302731266.0,Tue Jun 23 17:13:02 PDT 2009,NO_QUERY,YarnThing,@iambrianna did you leave it on my cell? I can't find it   so no...what's up?,"['leave', 'cell', 'find']",0.0,0.0,15.0,1.0,0.0,0.375,0.625,0.0,-0.0516,2.0,0.0,5.0,1.0,1.0
Positiva,1556066548.0,Sat Apr 18 21:32:15 PDT 2009,NO_QUERY,spencerfordad,Lyndsay hasent twittered in a while seeing as this week has been super hectic but the good news is i got 26/28 on my science quiz  love ya,"['lyndsay', 'hasent', 'twittered', 'seeing', 'week', 'super', 'hectic', 'good', 'news', 'got', 'science', 'quiz', 'love']",0.5111111111111111,0.6222222222222222,28.0,2.0,1.0,0.0,0.476,0.524,0.9001,1.0,0.0,1.0,0.0,1.0
Positiva,2063909726.0,Sun Jun 07 04:32:51 PDT 2009,NO_QUERY,reblong,is so cool and only is following one person on twitter ,"['cool', 'following', 'one', 'person', 'twitter']",0.175,0.375,11.0,2.0,1.0,0.0,0.635,0.365,0.3182,2.0,0.0,4.0,1.0,1.0
Positiva,1932396808.0,Tue May 26 21:23:06 PDT 2009,NO_QUERY,allen099,"@bigepaz  Yes, it's a great gadget. I never read extensively before, but when I got it, I couldn't stop.","['yes', 'great', 'gadget', 'never', 'read', 'extensively', 'got', 'could', 'stop']",0.4,0.5416666666666666,19.0,2.0,1.0,0.147,0.4,0.453,0.6808,1.0,1.0,2.0,1.0,1.0
Positiva,2053050627.0,Sat Jun 06 03:04:35 PDT 2009,NO_QUERY,brookedanielle_,Lovely shower that was ,"['lovely', 'shower']",0.5,0.75,4.0,2.0,1.0,0.0,0.208,0.792,0.5859,2.0,1.0,2.0,0.0,1.0
Neutral,2214841453.0,Wed Jun 17 17:18:30 PDT 2009,NO_QUERY,em_gx3,trying to study..physics suck ,"['trying', 'study', 'physics', 'suck']",0.0,0.0,4.0,1.0,0.0,0.492,0.508,0.0,-0.4404,1.0,1.0,1.0,0.0,0.0
